listing_id,date,price
36647,2019-03-07,69
36647,2019-03-08,69
36647,2019-03-09,69
36647,2019-03-10,69
36647,2019-03-11,69
36647,2019-03-12,69
36647,2019-03-13,69
36647,2019-03-14,69
36647,2019-03-15,69
36647,2019-03-16,69
36647,2019-03-17,69
36647,2019-03-18,69
36647,2019-03-19,69
36647,2019-03-20,69
36647,2019-03-21,69
36647,2019-03-22,69
36647,2019-03-23,69
36647,2019-03-24,69
36647,2019-03-25,69
36647,2019-03-26,69
36647,2019-03-27,69
36647,2019-03-28,69
36647,2019-03-29,69
36647,2019-03-30,69
36647,2019-03-31,69
36647,2019-04-01,69
36647,2019-04-02,69
36647,2019-04-03,69
2539,2019-03-07,149
2539,2019-03-08,150
2539,2019-03-09,150
2539,2019-03-10,149
2539,2019-03-11,149
2539,2019-03-12,149
2539,2019-03-13,149
2539,2019-03-14,149
2539,2019-03-15,150
2539,2019-03-16,150
2539,2019-03-17,149
2539,2019-03-18,149
2539,2019-03-19,149
2539,2019-03-20,149
2539,2019-03-21,149
2539,2019-03-22,150
2539,2019-03-23,150
2539,2019-03-24,149
2539,2019-03-25,149
2539,2019-03-26,149
2539,2019-03-27,149
2539,2019-03-28,149
2539,2019-03-29,150
2539,2019-03-30,150
2539,2019-03-31,149
2539,2019-04-01,149
2539,2019-04-02,149
2539,2019-04-03,149
2539,2019-04-04,149
2539,2019-04-05,150
2539,2019-04-06,150
2539,2019-04-07,149
2539,2019-04-08,149
2539,2019-04-09,149
2539,2019-04-10,149
2539,2019-04-11,149
2539,2019-04-12,150
2539,2019-04-13,150
2539,2019-04-14,149
2539,2019-04-15,149
2539,2019-04-16,149
2539,2019-04-17,149
2539,2019-04-18,149
2539,2019-04-19,150
2539,2019-04-20,150
2539,2019-04-21,149
2539,2019-04-22,149
2539,2019-04-23,149
2539,2019-04-24,149
2539,2019-04-25,149
2539,2019-04-26,150
2539,2019-04-27,150
2539,2019-04-28,149
2539,2019-04-29,149
2539,2019-04-30,149
2539,2019-05-01,149
2539,2019-05-02,149
2539,2019-05-03,150
2539,2019-05-04,150
2539,2019-05-05,149
2539,2019-05-06,149
2539,2019-05-07,149
2539,2019-05-08,149
2539,2019-05-09,149
2539,2019-05-10,150
2539,2019-05-11,150
2539,2019-05-12,149
2539,2019-05-13,149
2539,2019-05-14,149
2539,2019-05-15,149
2539,2019-05-16,149
2539,2019-05-17,150
2539,2019-05-18,150
2539,2019-05-19,149
2539,2019-05-20,149
2539,2019-05-21,149
2539,2019-05-22,149
2539,2019-05-23,149
2539,2019-05-24,150
2539,2019-05-25,150
2539,2019-05-26,149
2539,2019-05-27,149
2539,2019-05-28,149
2539,2019-05-29,149
2539,2019-05-30,149
2539,2019-05-31,150
2539,2019-06-01,150
2539,2019-06-02,149
2539,2019-06-03,149
2539,2019-06-04,149
2539,2019-06-05,149
2539,2019-06-06,149
2539,2019-06-07,150
18198,2019-03-07,70
18198,2019-03-08,70
18198,2019-03-09,70
36647,2019-04-04,69
36647,2019-04-05,69
36647,2019-04-06,69
36647,2019-04-07,69
36647,2019-04-08,69
36647,2019-04-09,69
36647,2019-04-10,69
